time_s,speed_kmh,motor_temp_c,battery_temp_c,controller_temp_c,smoke_ppm,obstacle_distance_m,road_friction,driver_fatigue,driver_attention,autopilot_confidence,takeover_time_s,efficiency_score,brake_margin_m,stopping_distance_m,thermal_risk,smoke_risk,speed_risk,brake_risk,takeover_risk,efficiency_risk,weighted_risk,max_risk,health_score,level
13.0,51.5311,57.0652,42.7538,51.2576,2.2607,68.1528,0.6966,21.0912,84.622,91.9732,2.5062,93.8928,49.5824,18.5705,0.0,9.0426,18.4512,0.0,0.0,6.1072,5.0378,18.4512,93.4861,NORMAL
14.0,50.8559,60.4714,43.031,50.3278,1.9379,69.4153,0.7627,23.6168,81.9599,89.3232,3.2583,88.3461,52.5484,16.8669,0.0,7.7517,9.2154,0.0,12.6589,11.6539,6.124,12.6589,92.8633,NORMAL
15.0,49.1947,58.7261,42.847,51.0414,2.6846,67.5514,0.8146,22.3327,76.0347,89.4744,3.0217,92.4536,52.4517,15.0996,0.0,10.7384,8.8072,0.0,8.1092,7.5464,5.3496,10.7384,93.7913,NORMAL
16.0,51.0582,58.9056,43.1911,50.4847,2.2904,68.8903,0.7634,24.5075,75.6395,95.783,2.895,90.6855,51.9153,16.975,0.0,9.1616,12.6099,0.0,5.6739,9.3145,5.4745,12.6099,93.5167,NORMAL
17.0,49.2923,58.3562,43.3242,52.7706,3.5686,69.3887,0.7862,21.3357,83.4272,90.8593,2.8388,92.7824,53.8122,15.5765,0.0,14.2743,10.1494,0.0,4.592,7.2176,5.5499,14.2743,93.3082,NORMAL
18.0,51.9072,58.948,41.2516,51.5801,1.718,70.0657,0.7453,26.435,79.8231,90.0725,2.7094,90.4229,52.2442,17.8215,0.0,6.8721,18.2131,0.0,2.1041,9.5771,5.3861,18.2131,93.1568,NORMAL
19.0,50.6018,60.3392,43.6475,51.0638,2.5916,72.0822,0.7355,20.8841,79.9112,94.292,2.5516,90.4273,54.876,17.2062,0.0,10.3665,6.3656,0.0,0.0,9.5727,3.8659,10.3665,95.3048,NORMAL
20.0,50.3612,59.6906,42.2161,52.5406,1.9924,71.7635,0.7469,20.5218,83.5774,92.1253,2.8661,91.6678,54.9118,16.8517,0.0,7.9697,1.5472,0.0,5.1173,8.3322,3.4056,8.3322,95.9279,NORMAL
21.0,49.572,60.4034,41.8538,49.2412,2.278,70.553,0.7088,19.8341,84.0151,92.6552,2.2048,90.0188,53.4762,17.0769,0.0,9.1119,6.3753,0.0,0.0,9.9812,3.7031,9.9812,95.4985,NORMAL
22.0,52.1024,60.5341,43.1507,49.4622,2.5636,68.3038,0.7022,27.1151,83.4449,91.1599,3.2284,87.796,49.482,18.8218,0.0,10.2546,18.8022,0.0,12.0838,12.204,7.9615,18.8022,90.5343,NORMAL
23.0,50.0043,61.7746,43.3299,52.3361,1.4536,71.233,0.7669,24.2904,82.2078,91.0429,3.2349,94.5541,54.9389,16.2942,0.0,5.8143,7.9107,0.0,12.2091,5.4459,4.782,12.2091,94.2413,NORMAL
24.0,49.4191,59.8678,42.6807,51.6644,2.6066,71.2324,0.768,22.1812,86.3691,91.0874,2.5792,93.1647,55.294,15.9384,0.0,10.4263,3.5178,0.0,0.0,6.8353,3.1204,10.4263,96.0455,NORMAL
25.0,49.2968,58.5955,44.1028,51.9176,3.3563,72.1697,0.6949,25.5448,81.2952,88.4961,3.1365,93.5525,54.9934,17.1763,0.0,13.4252,2.2054,0.0,10.3175,6.4475,5.0376,13.4252,93.8884,NORMAL
26.0,50.2839,61.7362,42.1964,50.4036,2.296,78.4702,0.7516,24.619,81.314,91.319,3.1859,89.1549,61.7474,16.7228,0.0,9.1838,7.3396,0.0,11.2664,10.8451,5.7662,11.2664,93.3325,NORMAL
27.0,49.7821,60.1448,43.087,51.769,2.6169,70.5263,0.7178,27.372,83.6967,92.0163,2.8551,88.8699,53.4909,17.0354,0.0,10.4677,3.7426,0.0,4.9065,11.1301,4.4616,11.1301,94.648,NORMAL
28.0,49.5681,61.9663,42.9753,53.8577,2.9612,73.5977,0.7285,20.5397,80.438,95.0495,2.8583,93.3363,56.891,16.7066,0.0,11.8449,3.2931,0.0,4.967,6.6637,4.102,11.8449,94.9505,NORMAL
29.0,49.3067,61.1741,43.5076,52.7397,2.4262,75.7552,0.73,23.2996,90.6575,91.6382,2.3954,91.8393,59.2333,16.5219,0.0,9.7049,3.4971,0.0,0.0,8.1607,3.1537,9.7049,96.0699,NORMAL
30.0,51.4139,60.6412,43.8477,52.1461,2.2386,73.0483,0.7439,23.0995,83.424,86.8392,2.8357,91.6278,55.5032,17.5451,0.0,8.9543,21.4343,0.0,4.533,8.3722,6.4673,21.4343,91.8179,NORMAL
31.0,47.5627,61.3007,42.7363,51.5977,1.4759,79.9576,0.7145,20.2708,84.6287,91.4873,2.4467,91.4874,64.2024,15.7553,0.0,5.9037,18.7449,0.0,0.0,8.5126,4.8369,18.7449,93.6635,NORMAL
32.0,47.1399,63.306,44.3412,51.7021,2.7884,71.9847,0.7522,26.5317,82.432,96.8656,2.8845,93.2395,57.093,14.8917,0.0,11.1538,7.2485,0.0,5.4711,6.7605,4.67,11.1538,94.4377,NORMAL
33.0,46.4574,63.5388,43.7914,50.0267,2.4491,74.2506,0.7171,24.0625,87.5252,93.1939,2.892,92.4503,59.1882,15.0624,0.0,9.7963,10.4442,0.0,5.615,7.5497,5.0364,10.4442,94.1281,NORMAL
34.0,48.2176,61.2104,42.0766,52.4723,2.0443,71.0259,0.7245,26.274,83.3424,89.9285,2.9471,90.7944,55.0574,15.9686,0.0,8.1772,7.7979,0.0,6.6755,9.2056,4.7326,9.2056,94.531,NORMAL
35.0,48.7179,61.3991,42.0607,53.1183,2.557,72.4962,0.6787,29.7049,74.7088,92.6197,3.0784,90.7028,55.3609,17.1353,0.0,10.2279,6.3885,0.0,9.2002,9.2972,5.2847,10.2279,93.8971,NORMAL
36.0,46.7875,62.577,43.8556,50.7548,2.2373,74.4101,0.7665,24.4688,85.9335,90.0238,2.5745,93.122,59.9288,14.4813,0.0,8.9494,11.2095,0.0,0.0,6.878,4.0282,11.2095,95.0751,NORMAL
37.0,45.6118,60.3484,43.7104,51.7259,2.2622,76.2987,0.7138,24.5221,80.678,88.7947,3.1251,92.0898,61.6685,14.6301,0.0,9.0488,13.9928,0.0,10.0989,7.9102,6.2023,13.9928,92.6783,NORMAL
38.0,45.5093,61.8394,43.8581,51.2862,2.7728,74.7975,0.7191,25.79,81.4897,90.6932,3.4119,91.0363,60.3098,14.4876,0.0,11.0913,10.1451,0.0,15.6141,8.9637,6.9812,15.6141,91.7697,NORMAL
39.0,47.4872,61.4841,43.9672,51.5341,1.8977,77.6817,0.6474,27.7146,76.5221,91.7656,3.319,89.0909,60.6862,16.9955,0.0,7.5909,7.4213,0.0,13.827,10.9091,5.9251,13.827,92.9688,NORMAL
40.0,47.5693,61.9661,44.2357,52.608,2.9713,73.6673,0.669,24.7932,83.1654,87.602,2.9165,89.66,57.0621,16.6052,0.0,11.8852,1.8914,0.0,6.087,10.34,4.5189,11.8852,94.5303,NORMAL
41.0,47.2827,60.6625,44.9253,50.5245,1.871,72.9871,0.7289,24.8504,79.6087,89.2901,3.2432,89.4964,57.6407,15.3464,0.0,7.4842,1.1692,0.0,12.3701,10.5036,4.6873,12.3701,94.3231,NORMAL
42.0,45.6264,59.8271,43.1112,53.2769,2.2018,82.1106,0.6984,28.4115,80.3677,91.5363,3.0838,90.1149,67.2192,14.8913,0.0,8.8071,15.0163,0.0,9.3038,9.8851,6.4245,15.0163,92.3742,NORMAL
43.0,46.9617,59.3178,43.0945,53.4696,3.3653,75.1799,0.6304,27.2383,79.7076,90.4433,3.0585,93.5398,58.1609,17.019,0.0,13.4613,7.3313,0.0,8.8182,6.4602,5.5743,13.4613,93.3488,NORMAL
44.0,46.9212,60.5341,43.2025,52.517,3.0073,71.8208,0.7171,22.5745,88.2938,92.128,2.3666,89.8517,56.4877,15.3331,0.0,12.0292,3.0823,0.0,0.0,10.1483,3.7251,12.0292,95.3126,NORMAL
45.0,47.2271,61.3929,44.483,50.339,2.5439,71.8621,0.6677,24.3951,87.7008,89.011,3.0898,91.7146,55.4452,16.4169,0.0,10.1757,2.6411,0.0,9.4184,8.2854,4.6272,10.1757,94.5587,NORMAL
46.0,48.3447,61.6586,45.379,51.8742,2.0768,71.0661,0.7244,30.0293,79.5272,92.9713,2.6342,94.6525,55.0211,16.045,0.0,8.307,7.3803,0.0,0.6569,5.3475,3.266,8.307,96.0694,NORMAL
47.0,47.6801,64.4009,43.9051,54.1537,2.2618,76.6368,0.6776,28.0107,80.4274,89.1349,3.3687,93.5045,60.131,16.5059,0.0,9.0473,3.6045,0.0,14.7833,6.4955,5.2235,14.7833,93.5938,NORMAL
48.0,48.5962,63.468,42.0757,50.1923,2.533,72.6507,0.6845,25.8614,80.0179,94.7282,2.8298,90.6318,55.7078,16.943,0.0,10.1319,4.6298,0.0,4.4194,9.3682,4.2482,10.1319,94.9413,NORMAL
49.0,48.0523,61.0495,42.8266,52.6714,2.5169,74.0266,0.7119,27.2229,83.8844,88.0148,2.9823,92.4785,57.9336,16.093,0.0,10.0675,4.1012,0.0,7.3525,7.5215,4.4056,10.0675,94.789,NORMAL
50.0,48.7042,62.6831,43.6427,51.8868,2.4591,73.3386,0.6478,27.7671,79.3511,89.2739,3.5878,90.3646,55.5546,17.784,0.0,9.8364,2.7446,0.0,18.9957,9.6354,6.2795,18.9957,92.2009,NORMAL
51.0,49.551,61.8379,43.9217,53.9185,2.4861,75.5925,0.6431,29.3879,78.3931,92.2878,3.0684,92.0102,57.1361,18.4564,0.0,9.9445,6.1717,0.0,9.0073,7.9898,5.0163,9.9445,94.1882,NORMAL
52.0,47.0165,62.0444,44.0865,52.4852,2.4035,70.711,0.6652,25.3746,84.2784,94.7997,2.6089,90.3634,54.3763,16.3346,0.0,9.6141,20.4113,0.0,0.1713,9.6366,5.8799,20.4113,92.4872,NORMAL
53.0,49.0153,62.6658,44.5182,53.6098,1.8511,69.8623,0.6941,26.5829,79.2203,92.2228,3.0437,91.7088,52.846,17.0163,0.0,7.4044,10.1439,0.0,8.5327,8.2912,5.1405,10.1439,94.048,NORMAL
54.0,49.2226,63.2428,44.2315,53.816,2.2676,73.5845,0.6276,28.9832,79.7138,92.6269,3.2412,90.0985,54.9836,18.6009,0.0,9.0703,4.5557,0.0,12.3317,9.9015,5.3866,12.3317,93.6269,NORMAL
55.0,49.4119,62.1477,45.4841,55.1306,2.9116,74.5221,0.6157,28.409,75.3243,91.3945,3.2202,93.7728,55.4963,19.0258,0.0,11.6463,5.4731,0.0,11.9273,6.2272,5.4565,11.9273,93.5893,NORMAL
56.0,50.3478,63.885,43.958,53.1345,1.8842,73.5097,0.6888,29.9226,81.5451,89.5327,2.8811,91.1738,55.5391,17.9706,0.0,7.537,5.2006,0.0,5.4066,8.8262,3.9856,8.8262,95.3083,NORMAL
57.0,53.2488,61.2902,43.8161,53.7557,2.4147,69.8622,0.6442,26.4889,86.6973,90.4885,2.6715,91.0124,48.8555,21.0067,0.0,9.6588,21.6014,0.0,1.3752,8.9876,6.1808,21.6014,92.0911,NORMAL
58.0,50.3572,62.7188,45.048,51.936,2.1311,74.0874,0.6489,29.83,81.6351,89.1073,3.5156,93.3068,55.2208,18.8666,0.0,8.5244,14.9716,0.0,17.6073,6.6932,7.3152,17.6073,91.2762,NORMAL
59.0,53.3237,65.8776,43.2589,54.6519,2.5501,69.5739,0.6033,31.4655,83.1699,88.8816,3.2772,91.3198,47.3341,22.2398,0.0,10.2004,19.0428,0.0,13.0239,8.6802,7.7159,19.0428,90.7606,NORMAL
60.0,49.9907,63.0759,45.0146,52.7406,2.3251,69.978,0.6369,30.4214,76.6847,92.292,3.4309,91.3315,51.076,18.902,0.0,9.3005,21.6506,0.0,15.9788,8.6685,8.4255,21.6506,89.8425,NORMAL
61.0,52.2312,64.5743,44.7781,52.9791,3.1648,68.4348,0.6554,29.8902,80.1551,89.0574,3.2323,90.1163,48.4387,19.9962,0.0,12.6593,8.9016,0.0,12.1593,9.8837,6.6189,12.6593,92.3684,NORMAL
62.0,53.2511,63.009,44.5742,53.5555,2.728,74.8815,0.682,29.5832,76.7456,92.039,3.1548,90.4546,54.8307,20.0508,0.0,10.9118,8.1996,0.0,10.6694,9.5454,5.9375,10.9118,93.1895,NORMAL
63.0,54.1323,63.6393,46.1563,52.0518,1.9097,72.5773,0.6293,28.2669,79.4446,88.9762,3.6133,91.0586,50.5059,22.0714,0.0,7.6388,11.1889,0.0,19.4861,8.9414,7.1677,19.4861,91.2735,NORMAL
64.0,54.5567,62.9159,44.186,53.8795,2.8021,72.1791,0.7006,29.953,81.7364,91.9763,3.1025,88.119,51.6825,20.4966,0.0,11.2082,10.3369,0.0,9.6629,11.881,6.4277,11.881,92.6218,NORMAL
65.0,54.8781,62.8197,46.6183,54.6534,2.1514,73.7814,0.6288,32.7755,78.5397,90.5493,3.3309,92.8102,51.1342,22.6472,0.0,8.6056,10.4952,0.0,14.0555,7.1898,6.1489,14.0555,92.7267,NORMAL
66.0,53.4393,62.1275,44.5783,54.0131,2.2404,78.1424,0.6273,30.1759,75.0882,94.3204,3.5527,98.8417,56.5273,21.6151,0.0,8.9614,6.3744,0.0,18.3217,1.1583,5.5501,18.3217,92.9842,NORMAL
67.0,53.3911,63.6163,43.648,52.1645,2.6412,64.2308,0.6924,28.7908,75.9628,92.0664,3.1318,92.1896,44.3316,19.8991,0.0,10.5649,1.4499,0.0,10.2278,7.8104,4.5872,10.5649,94.5676,NORMAL
68.0,55.2987,62.1136,44.8754,53.662,2.2787,66.7873,0.6511,29.741,75.3653,93.9702,3.1627,87.0034,44.477,22.3103,0.0,9.1149,17.1376,0.0,10.8207,12.9966,7.4111,17.1376,91.2179,NORMAL
69.0,53.8355,63.9681,43.858,54.5593,2.9018,66.7882,0.6267,31.281,80.3363,89.8503,3.3229,92.8516,44.8631,21.9251,0.0,11.6071,8.4058,0.0,13.9023,7.1484,6.3163,13.9023,92.5716,NORMAL
70.0,52.2685,64.5041,44.1632,51.9697,2.1515,65.7096,0.6372,30.2847,85.4721,91.639,3.0389,90.729,45.2178,20.4917,0.0,8.6059,10.5556,0.0,8.4404,9.271,5.5093,10.5556,93.6462,NORMAL
71.0,52.3637,63.6724,45.2093,52.8025,2.2215,64.6459,0.681,32.1534,82.5829,89.5491,3.348,89.0474,45.175,19.471,0.0,8.8859,4.551,0.0,14.3855,10.9526,5.8092,14.3855,93.0399,NORMAL
72.0,52.5035,62.9183,45.3632,54.7824,2.2046,66.5883,0.683,32.3782,72.7132,90.6878,4.0702,91.1221,47.0692,19.5191,0.0,8.8185,2.9541,0.0,28.2734,8.8779,7.5314,28.2734,90.2068,NORMAL
73.0,54.2726,63.8342,44.3134,54.2036,2.2455,63.4385,0.6131,33.2587,82.2946,90.9818,3.3789,89.9635,40.7758,22.6627,0.0,8.9819,14.0979,0.0,14.9787,10.0365,7.2426,14.9787,91.5591,NORMAL
74.0,53.5082,62.9451,45.7712,54.3721,2.9946,67.6876,0.635,34.4748,80.3298,89.8895,2.9402,93.0037,46.2388,21.4487,0.0,11.9785,8.2725,0.0,6.542,6.9963,5.1635,11.9785,93.8782,NORMAL
75.0,53.956,64.4626,45.9326,55.8454,2.783,66.4252,0.6376,33.7648,73.1829,88.9567,3.7832,88.0072,44.7218,21.7034,0.0,11.1318,11.5334,0.0,22.7536,11.9928,8.7021,22.7536,89.4776,NORMAL
76.0,52.0224,61.1652,46.1907,54.4791,3.2695,67.295,0.604,30.0486,78.47,88.4537,3.3836,90.8221,46.0609,21.2341,0.0,13.0779,8.5426,0.0,15.0684,9.1779,7.0169,15.0684,91.7776,NORMAL
77.0,52.4273,62.9814,45.3808,54.6922,3.5204,66.9516,0.6306,30.2526,82.5805,86.546,3.3111,88.4739,46.1695,20.7821,0.0,14.0818,6.8985,0.0,13.6757,11.5261,6.9999,14.0818,91.8735,NORMAL
78.0,52.6229,61.0148,46.1367,56.7679,2.0362,66.8093,0.6312,32.0492,80.1906,89.4393,3.4276,89.2264,45.9006,20.9087,0.0,8.1447,9.4489,0.0,15.9152,10.7736,6.6412,15.9152,92.0856,NORMAL
79.0,50.8167,61.6278,43.2212,53.8651,2.5317,63.4478,0.664,31.4381,74.8687,92.698,3.4217,91.0023,44.6234,18.8243,0.0,10.1268,8.1477,0.0,15.8012,8.9977,6.5516,15.8012,92.1843,NORMAL
80.0,51.3571,65.0749,44.6312,53.3019,1.9707,70.4956,0.6648,30.2019,81.1474,88.3694,3.2795,92.4875,51.3252,19.1704,0.0,7.8828,7.9856,0.0,13.0679,7.5125,5.5303,13.0679,93.4243,NORMAL
81.0,49.2287,64.5274,44.1394,54.5474,2.1501,64.3967,0.6175,31.7319,72.2601,88.7907,3.7924,93.0276,45.5423,18.8544,0.0,8.6003,10.4718,0.0,22.9307,6.9724,7.5384,22.9307,90.6271,NORMAL
82.0,49.0599,62.603,45.0284,54.5774,2.2165,57.6649,0.6197,31.8014,77.9749,95.0942,3.1397,89.5814,38.9843,18.6806,0.0,8.8659,2.002,0.0,10.3783,10.4186,4.7183,10.4186,94.4483,NORMAL
83.0,48.4265,61.6751,44.4073,53.6296,2.0243,59.8025,0.6449,31.5404,82.1669,90.2817,3.046,91.458,42.1389,17.6636,0.0,8.0971,3.8533,0.0,8.5764,8.542,4.3518,8.5764,94.9621,NORMAL
84.0,46.6653,59.9307,44.7716,53.1408,2.0267,57.1442,0.6063,32.3847,78.4536,92.1962,4.0264,96.471,39.7785,17.3657,0.0,8.1066,13.9276,0.0,27.4306,3.529,8.2796,27.4306,89.5259,NORMAL
85.0,48.3909,62.8445,46.6136,56.4989,2.4351,61.9733,0.6404,35.5039,75.5916,92.7489,3.4265,91.5631,44.2328,17.7405,0.0,9.7403,10.8799,0.0,15.8945,8.4369,6.8434,15.8945,91.8851,NORMAL
86.0,46.4184,66.4081,44.7646,54.5308,1.9525,61.1116,0.619,33.6746,80.5247,92.8955,3.3464,94.5929,44.1995,16.9122,0.0,7.8099,9.1522,0.0,14.3532,5.4071,5.6459,14.3532,93.2059,NORMAL
87.0,46.462,64.0307,45.2864,53.4855,2.879,59.6282,0.5915,38.3473,78.8184,88.322,3.4116,89.6244,42.0497,17.5786,0.0,11.5158,1.6295,0.0,15.6084,10.3756,5.9445,15.6084,92.8068,NORMAL
88.0,46.4946,62.8411,44.7007,55.1467,2.087,66.624,0.5909,33.8707,81.7044,91.0787,3.3756,90.044,49.0072,17.6169,0.0,8.348,5.0804,0.0,14.916,9.956,5.7625,14.916,93.0442,NORMAL
89.0,45.837,64.0729,44.9728,54.1335,3.7643,61.7979,0.662,33.0741,80.7319,87.9354,3.2435,92.7892,46.1329,15.665,0.0,15.0572,6.4595,0.0,12.3745,7.2108,6.3739,15.0572,92.4215,NORMAL
90.0,45.5524,61.6422,44.904,54.0007,2.2969,61.8915,0.6129,33.7854,81.0543,96.3873,3.1017,92.9412,45.4135,16.478,0.0,9.1875,6.7998,0.0,9.6482,7.0588,4.9726,9.6482,94.2555,NORMAL
91.0,43.9156,63.1576,45.2951,54.8258,2.5324,56.4853,0.6658,34.4114,79.7459,88.2531,3.7632,94.6587,42.0447,14.4406,0.0,10.1296,5.8969,0.0,22.3697,5.3413,6.8267,22.3697,91.3838,NORMAL
92.0,42.9215,63.6313,45.9326,52.9805,1.9171,55.8502,0.6003,34.8888,78.1433,89.4826,3.6754,95.1586,40.8002,15.05,0.0,7.6684,6.7693,0.0,20.6804,4.8414,6.2088,20.6804,92.1367,NORMAL
93.0,42.8956,63.4046,46.3578,54.633,3.2677,58.5315,0.6235,38.2899,76.1868,89.1999,3.9272,89.915,43.9472,14.5843,0.0,13.071,1.1582,0.0,25.5223,10.085,7.6896,25.5223,90.2687,NORMAL
94.0,40.1742,64.4513,45.1442,56.2003,3.0038,58.5184,0.6857,32.5624,77.612,88.3458,3.1322,87.6715,46.4718,12.0466,0.0,12.0151,23.0635,0.0,10.2338,12.3285,8.6189,23.0635,89.536,NORMAL
95.0,40.0793,63.9088,45.3857,54.7595,2.6336,52.0143,0.5813,36.0862,73.2067,94.1258,4.0537,90.6048,38.3641,13.6502,0.0,10.5344,11.6026,0.0,27.9565,9.3952,9.1317,27.9565,88.6318,NORMAL
96.0,39.8645,64.2886,43.808,53.9221,1.8939,56.6322,0.5553,34.897,74.4773,96.4282,3.2157,92.5677,42.6089,14.0233,0.0,7.5758,11.4208,0.0,11.8412,7.4323,5.7875,11.8412,93.2652,NORMAL
97.0,39.9756,63.2919,45.0922,54.267,2.5948,56.8118,0.65,31.4512,77.9445,90.4776,3.7282,94.2191,44.3674,12.4445,0.0,10.3792,8.5345,0.0,21.697,5.7809,7.2099,21.697,91.0544,NORMAL
98.0,41.6332,65.8252,46.3443,54.8385,1.9954,55.7278,0.5859,36.245,77.5015,88.9202,3.8978,94.4999,41.2011,14.5268,0.0,7.9814,7.8366,0.0,24.9571,5.5001,7.1855,24.9571,90.818,NORMAL
99.0,39.5548,67.331,46.6032,55.4687,3.1581,53.5445,0.6093,37.3475,80.6365,86.8314,3.8068,87.9766,40.6987,12.8458,0.0,12.6322,14.9291,0.0,23.2071,12.0234,9.5428,23.2071,88.6007,NORMAL
100.0,40.0899,64.839,46.3394,55.8177,2.8641,53.9857,0.5916,33.2049,77.9286,90.8817,3.2704,93.4054,40.5177,13.468,0.0,11.4566,4.7919,0.0,12.8925,6.5946,5.5206,12.8925,93.448,NORMAL
101.0,42.2826,65.5635,47.271,57.5836,2.5429,54.7022,0.6165,35.0067,80.3076,90.8078,3.492,87.5826,40.3617,14.3405,0.0,10.1718,16.6247,0.0,17.1546,12.4174,8.4577,17.1546,90.1699,NORMAL
102.0,39.8562,68.8557,47.2384,55.405,1.4036,55.1428,0.5793,31.6777,81.9333,90.3886,3.1618,88.5735,41.591,13.5519,0.0,5.6145,11.7429,0.0,10.8037,11.4265,5.8157,11.7429,93.2449,NORMAL
103.0,41.3243,67.6458,48.1998,58.4702,2.0575,56.3323,0.6018,32.7129,77.5662,91.9901,3.42,95.7845,42.3023,14.03,0.0,8.2299,10.2576,0.0,15.7686,4.2155,5.9666,15.7686,92.772,NORMAL
104.0,38.9653,70.1812,47.7019,57.6975,2.8095,57.4182,0.6201,37.4271,78.0647,92.1723,3.5475,92.6063,45.0824,12.3358,0.5177,11.238,15.1343,0.0,18.2206,7.3937,8.0763,18.2206,90.466,NORMAL
105.0,40.0065,68.5854,47.4426,58.9222,3.0458,52.9611,0.5757,34.4971,76.7806,91.9761,3.0733,94.8376,39.2497,13.7113,0.0,12.1832,5.6429,0.0,9.1023,5.1624,4.9934,12.1832,94.0319,NORMAL
106.0,39.0241,71.4809,48.3856,57.8854,2.9991,52.1553,0.5844,33.3096,81.9764,90.7079,3.5739,92.3731,39.1971,12.9581,4.2312,11.9965,10.6922,0.0,18.7288,7.6269,8.3167,18.7288,90.185,NORMAL
107.0,39.9743,70.5097,45.7657,60.8072,1.7836,54.528,0.5945,36.0818,78.7532,89.4044,3.5885,92.1941,41.1805,13.3475,1.4563,7.1344,6.4786,0.0,19.0103,7.8059,6.4251,19.0103,92.054,NORMAL
108.0,41.7512,71.2775,49.067,61.1895,2.6357,54.7509,0.5615,34.6721,73.8663,92.7518,3.5002,85.4453,39.6425,15.1084,3.6501,10.5428,12.0346,0.0,17.3117,14.5547,8.7709,17.3117,89.8442,NORMAL
109.0,38.309,73.4597,45.7573,61.3678,2.957,51.3316,0.5912,34.8676,77.8402,91.3745,3.3974,92.8881,38.9089,12.4227,9.8849,11.8279,25.3268,0.0,15.3342,7.1119,10.8959,25.3268,87.0779,NORMAL
110.0,41.5101,71.761,47.8077,59.3569,1.7537,54.734,0.607,37.3787,81.2453,93.3909,3.5288,89.1646,40.6875,14.0465,5.0314,7.015,14.0133,0.0,17.8617,10.8354,8.3583,17.8617,90.2128,NORMAL
111.0,41.4267,71.6776,50.0826,62.1633,2.4964,55.0434,0.591,33.6656,77.3167,93.0309,3.2353,90.2141,40.747,14.2964,4.793,9.9858,2.6266,0.0,12.2164,9.7859,6.0832,12.2164,92.9395,NORMAL
