time_s,cart_x_m,pole_angle_rad,cart_velocity_mps,pole_angular_velocity,control_force
1.86,-5.258676,-1.730568,-0.098198,1.498454,8.0
1.87,-5.259111,-1.717614,-0.043503,1.295391,8.0
1.88,-5.258993,-1.706701,0.011835,1.091336,8.0
1.89,-5.258316,-1.697835,0.067723,0.886575,8.0
1.9,-5.257075,-1.691021,0.124061,0.681394,8.0
1.91,-5.255268,-1.68626,0.18075,0.476078,8.0
1.92,-5.252891,-1.683551,0.237687,0.27091,8.0
1.93,-5.249943,-1.682889,0.294769,0.066176,8.0
1.94,-5.246424,-1.684268,0.351893,-0.137844,8.0
1.95,-5.242335,-1.687676,0.408957,-0.340867,8.0
1.96,-5.237676,-1.693103,0.465861,-0.542615,8.0
1.97,-5.232451,-1.700531,0.522507,-0.742812,8.0
1.98,-5.226663,-1.709943,0.578799,-0.941186,8.0
1.99,-5.220317,-1.721317,0.63465,-1.137465,8.0
2.0,-5.213417,-1.734631,0.689972,-1.331384,8.0
2.01,-5.20597,-1.749858,0.744687,-1.522676,8.0
2.02,-5.197983,-1.766969,0.798724,-1.711081,8.0
2.03,-5.189463,-1.785932,0.852016,-1.896337,8.0
2.04,-5.180417,-1.806714,0.904508,-2.078184,8.0
2.05,-5.170856,-1.829277,0.956153,-2.25636,8.0
2.06,-5.161808,-1.813375,0.904794,1.590289,8.0
2.07,-5.152232,-1.799381,0.957553,1.399378,8.0
2.08,-5.142123,-1.787309,1.010937,1.207211,8.0
2.09,-5.131474,-1.777168,1.06487,1.014073,8.0
2.1,-5.120282,-1.768965,1.119272,0.820247,8.0
2.11,-5.108541,-1.762705,1.174057,0.626013,8.0
2.12,-5.09625,-1.758389,1.229141,0.431651,8.0
2.13,-5.083405,-1.756014,1.284433,0.237439,8.0
2.14,-5.070007,-1.755578,1.339844,0.043655,8.0
2.15,-5.056054,-1.757072,1.395286,-0.149425,8.0
2.16,-5.041547,-1.760487,1.450669,-0.341527,8.0
2.17,-5.026488,-1.765811,1.505908,-0.53238,8.0
2.18,-5.010879,-1.773028,1.560916,-0.721712,8.0
2.19,-4.994723,-1.782121,1.615614,-0.909256,8.0
2.2,-4.978024,-1.793068,1.669924,-1.094746,8.0
2.21,-4.960786,-1.805848,1.723775,-1.277918,8.0
2.22,-4.943015,-1.820433,1.777099,-1.458509,8.0
2.23,-4.925782,-1.796131,1.723322,2.430177,8.0
2.24,-4.908052,-1.773815,1.77294,2.231537,8.0
2.25,-4.889816,-1.753509,1.823597,2.030684,8.0
2.26,-4.871064,-1.73523,1.875224,1.827904,8.0
2.27,-4.851787,-1.718995,1.927744,1.623476,8.0
2.28,-4.831976,-1.704818,1.981072,1.417681,8.0
2.29,-4.811625,-1.69271,2.035118,1.210798,8.0
2.3,-4.790727,-1.682679,2.089785,1.003107,8.0
2.31,-4.769277,-1.67473,2.144971,0.794887,8.0
2.32,-4.747272,-1.668866,2.200575,0.58642,8.0
2.33,-4.724707,-1.665086,2.256489,0.377985,8.0
2.34,-4.701581,-1.663387,2.312607,0.169862,8.0
2.35,-4.677892,-1.663764,2.368821,-0.037669,8.0
2.36,-4.653642,-1.666207,2.425026,-0.244331,8.0
2.37,-4.628831,-1.670706,2.481115,-0.449848,8.0
2.38,-4.603461,-1.677245,2.536986,-0.653949,8.0
2.39,-4.577536,-1.685809,2.592538,-0.856361,8.0
2.4,-4.551059,-1.696377,2.647677,-1.056819,8.0
2.41,-4.524036,-1.708928,2.702309,-1.255057,8.0
2.42,-4.496472,-1.723436,2.756349,-1.450816,8.0
2.43,-4.468375,-1.739874,2.809717,-1.643837,8.0
2.44,-4.439752,-1.758213,2.862342,-1.833865,8.0
2.45,-4.41061,-1.778419,2.914158,-2.020644,8.0
2.46,-4.380959,-1.800459,2.96511,-2.20392,8.0
2.47,-4.350808,-1.824293,3.015154,-2.383437,8.0
2.48,-4.321869,-1.783937,2.893814,4.035588,8.0
2.49,-4.292528,-1.745694,2.934157,3.824342,8.0
2.5,-4.262764,-1.709597,2.97637,3.60965,8.0
2.51,-4.23256,-1.675679,3.020426,3.39177,8.0
2.52,-4.201897,-1.64397,3.06628,3.170946,8.0
2.53,-4.170758,-1.614496,3.113868,2.947416,8.0
2.54,-4.139127,-1.587282,3.163108,2.721416,8.0
2.55,-4.106988,-1.56235,3.213906,2.493188,8.0
2.56,-4.074327,-1.53972,3.266156,2.262975,8.0
2.57,-4.041129,-1.51941,3.319743,2.031028,8.0
2.58,-4.007384,-1.501434,3.374541,1.797605,8.0
2.59,-3.97308,-1.485804,3.430422,1.562972,8.0
2.6,-3.938207,-1.47253,3.487249,1.327398,8.0
