time_s,q_shoulder,q_elbow,v_shoulder,v_elbow,ctrl_shoulder,ctrl_elbow,instant_power
0.53,-0.26648,-0.131133,-0.953862,-0.5734,1.026087,0.394936,1.205202
0.54,-0.275312,-0.136552,-0.883184,-0.541892,1.026701,0.396591,1.121676
0.55,-0.283424,-0.14165,-0.81114,-0.509799,1.024926,0.397523,1.034016
0.56,-0.290803,-0.146421,-0.737937,-0.477088,1.0208,0.397714,0.943031
0.57,-0.297441,-0.150858,-0.663785,-0.443725,1.014366,0.397142,0.849543
0.58,-0.30333,-0.154955,-0.588895,-0.409674,1.005671,0.395787,0.754378
0.59,-0.308465,-0.158704,-0.513472,-0.374909,0.994771,0.393627,0.658361
0.6,-0.312842,-0.162098,-0.437722,-0.339406,0.981723,0.390641,0.562308
0.61,-0.31646,-0.165129,-0.361846,-0.303154,0.966591,0.38681,0.46702
0.62,-0.319321,-0.167791,-0.286039,-0.266153,0.949443,0.382116,0.373279
0.63,-0.321426,-0.170075,-0.210491,-0.228415,0.930347,0.376547,0.281839
0.64,-0.322779,-0.171975,-0.135386,-0.189968,0.909378,0.370091,0.193423
0.65,-0.323388,-0.173483,-0.060901,-0.150853,0.886612,0.362746,0.108717
0.66,-0.32326,-0.174595,0.012794,-0.111128,0.862125,0.354509,0.050426
0.67,-0.322405,-0.175303,0.085538,-0.070866,0.835999,0.345386,0.095986
0.68,-0.320833,-0.175605,0.157177,-0.030156,0.808315,0.335388,0.137162
0.69,-0.318558,-0.175496,0.227564,0.010898,0.779155,0.324532,0.180844
0.7,-0.315592,-0.174974,0.296562,0.052178,0.748603,0.312841,0.23833
0.71,-0.311952,-0.174039,0.364041,0.093553,0.716743,0.300343,0.289022
0.72,-0.307653,-0.17269,0.42988,0.134878,0.68366,0.287075,0.332612
0.73,-0.302713,-0.17093,0.493967,0.176001,0.649439,0.273076,0.368863
0.74,-0.297151,-0.168762,0.556195,0.216758,0.614166,0.258393,0.397605
0.75,-0.290987,-0.166192,0.616466,0.25698,0.577925,0.24308,0.418738
0.76,-0.28424,-0.163227,0.674691,0.296494,0.540802,0.227192,0.432235
0.77,-0.276932,-0.159876,0.730785,0.335124,0.502881,0.210791,0.438139
0.78,-0.269085,-0.156149,0.78467,0.372696,0.464248,0.193942,0.436563
0.79,-0.260722,-0.152059,0.836275,0.409036,0.424987,0.176714,0.427688
0.8,-0.251867,-0.147619,0.885534,0.44398,0.385182,0.159176,0.411762
0.81,-0.242543,-0.142845,0.932384,0.477368,0.344918,0.1414,0.389096
0.82,-0.232776,-0.137755,0.97677,0.509053,0.304278,0.123459,0.360056
0.83,-0.222589,-0.132366,1.018636,0.538901,0.263347,0.105424,0.325068
0.84,-0.21201,-0.126698,1.057934,0.56679,0.222209,0.087366,0.284601
0.85,-0.201064,-0.120772,1.094616,0.592617,0.180949,0.069355,0.23917
0.86,-0.189777,-0.114609,1.128638,0.616296,0.13965,0.051456,0.189326
0.87,-0.178178,-0.108231,1.159958,0.637761,0.098398,0.033733,0.135651
0.88,-0.166292,-0.101662,1.188536,0.656962,0.057277,0.016243,0.078747
0.89,-0.154149,-0.094923,1.214335,0.673872,0.016373,-0.000959,0.020528
0.9,-0.141776,-0.088038,1.23732,0.688483,-0.02423,-0.017823,0.042251
0.91,-0.129201,-0.08103,1.257459,0.700804,-0.064445,-0.034307,0.105079
0.92,-0.116454,-0.073921,1.274724,0.710862,-0.104188,-0.050371,0.168617
0.93,-0.103563,-0.066734,1.289088,0.718702,-0.143373,-0.065983,0.232243
0.94,-0.090558,-0.059491,1.300528,0.724381,-0.181917,-0.081115,0.295346
0.95,-0.077468,-0.052211,1.309028,0.727972,-0.219735,-0.095744,0.357338
0.96,-0.064322,-0.044915,1.314575,0.729555,-0.256744,-0.109853,0.417653
0.97,-0.05115,-0.037623,1.31716,0.729222,-0.292865,-0.123428,0.475756
0.98,-0.037982,-0.030352,1.316784,0.72707,-0.328016,-0.136461,0.531142
0.99,-0.024848,-0.02312,1.31345,0.723198,-0.36212,-0.148945,0.583344
1.0,-0.011776,-0.015943,1.307171,0.717711,-0.395103,-0.160879,0.631932
1.01,0.001204,-0.008836,1.297968,0.710712,-0.426892,-0.172261,0.67652
1.02,0.014062,-0.001813,1.285867,0.702301,-0.457418,-0.183094,0.716766
1.03,0.026771,0.005113,1.270906,0.692578,-0.486615,-0.193381,0.752373
1.04,0.039303,0.011929,1.253127,0.681635,-0.514422,-0.203125,0.783093
1.05,0.051628,0.018625,1.232584,0.66956,-0.540781,-0.21233,0.808726
1.06,0.063722,0.025189,1.209339,0.656435,-0.565638,-0.221001,0.829122
1.07,0.075556,0.031612,1.183461,0.642333,-0.588945,-0.229142,0.844179
1.08,0.087107,0.037885,1.155028,0.627321,-0.610658,-0.236755,0.853849
1.09,0.098348,0.044,1.124126,0.611456,-0.630737,-0.243844,0.858128
1.1,0.109256,0.049948,1.090848,0.594791,-0.649149,-0.250408,0.857063
1.11,0.119809,0.055722,1.055296,0.577369,-0.665864,-0.256448,0.850748
1.12,0.129985,0.061314,1.017577,0.559226,-0.680858,-0.261962,0.839321
1.13,0.139763,0.066718,0.977803,0.540392,-0.694113,-0.266948,0.822963
1.14,0.149124,0.071927,0.936096,0.520892,-0.705615,-0.271402,0.801895
1.15,0.15805,0.076934,0.892578,0.500745,-0.715356,-0.275318,0.776375
1.16,0.166524,0.081734,0.847379,0.479967,-0.723332,-0.27869,0.746698
1.17,0.17453,0.08632,0.80063,0.45857,-0.729544,-0.281512,0.713188
1.18,0.182055,0.090685,0.752468,0.436564,-0.733999,-0.283775,0.676196
1.19,0.189085,0.094825,0.703029,0.413957,-0.736706,-0.285471,0.636099
1.2,0.19561,0.098732,0.652455,0.39076,-0.737681,-0.286593,0.593292
1.21,0.201618,0.102402,0.600885,0.366979,-0.736944,-0.287131,0.548189
1.22,0.207103,0.105828,0.548461,0.342627,-0.734517,-0.287078,0.501214
1.23,0.212056,0.109006,0.495324,0.317715,-0.730429,-0.286427,0.452801
1.24,0.216472,0.111928,0.441616,0.29226,-0.72471,-0.28517,0.403387
1.25,0.220347,0.114591,0.387476,0.266281,-0.717394,-0.283304,0.353411
1.26,0.223678,0.116989,0.333043,0.239801,-0.708519,-0.280822,0.303309
1.27,0.226462,0.119118,0.278453,0.212851,-0.698127,-0.277725,0.253509
1.28,0.228701,0.120972,0.22384,0.185462,-0.68626,-0.27401,0.204431
1.29,0.230394,0.122549,0.169334,0.157676,-0.672965,-0.269679,0.156478
1.3,0.231544,0.123844,0.115064,0.129538,-0.658291,-0.264737,0.110039
1.31,0.232156,0.124855,0.061154,0.101099,-0.642288,-0.25919,0.065482
1.32,0.232233,0.125579,0.007725,0.072415,-0.62501,-0.253047,0.023153
1.33,0.231782,0.126015,-0.045107,0.043552,-0.60651,-0.246319,0.038086
1.34,0.23081,0.126161,-0.09723,0.014577,-0.586846,-0.239021,0.060543
1.35,0.229325,0.126016,-0.148534,-0.014437,-0.566075,-0.231171,0.087419
1.36,0.227335,0.125582,-0.198916,-0.043409,-0.544257,-0.222787,0.117933
1.37,0.224853,0.12486,-0.248278,-0.072257,-0.521451,-0.213894,0.14492
1.38,0.221887,0.123851,-0.296524,-0.100894,-0.49772,-0.204516,0.16822
1.39,0.218452,0.122558,-0.343565,-0.129231,-0.473124,-0.194681,0.187707
1.4,0.214559,0.120987,-0.389314,-0.157176,-0.447727,-0.184421,0.203293
1.41,0.210222,0.11914,-0.433692,-0.184636,-0.421592,-0.173767,0.214925
1.42,0.205455,0.117025,-0.476621,-0.211519,-0.394784,-0.162754,0.222588
1.43,0.200275,0.114648,-0.518029,-0.237731,-0.367367,-0.15142,0.226304
1.44,0.194697,0.112016,-0.557849,-0.263183,-0.339405,-0.139801,0.22613
1.45,0.188737,0.109138,-0.596017,-0.287787,-0.310964,-0.127937,0.222159
1.46,0.182412,0.106024,-0.632473,-0.311457,-0.282109,-0.115868,0.214514
1.47,0.17574,0.102682,-0.667161,-0.334115,-0.252905,-0.103634,0.203354
1.48,0.16874,0.099126,-0.700029,-0.355686,-0.223418,-0.091276,0.188865
1.49,0.16143,0.095365,-0.73103,-0.376102,-0.193713,-0.078834,0.17126
1.5,0.153828,0.091411,-0.760117,-0.395302,-0.163857,-0.066347,0.150777
1.51,0.145956,0.087279,-0.787251,-0.41323,-0.133913,-0.053856,0.127678
1.52,0.137832,0.082981,-0.812393,-0.429843,-0.103947,-0.041398,0.102241
1.53,0.129477,0.07853,-0.835509,-0.445101,-0.074026,-0.029009,0.074761
1.54,0.120911,0.07394,-0.856569,-0.458974,-0.044212,-0.016725,0.045547
1.55,0.112156,0.069226,-0.875544,-0.471443,-0.01457,-0.004579,0.014916
1.56,0.103232,0.064401,-0.892411,-0.482494,0.014835,0.007398,0.016809
1.57,0.09416,0.059479,-0.90715,-0.492123,0.043942,0.019177,0.049299
1.58,0.084963,0.054476,-0.919744,-0.500332,0.072686,0.030731,0.082229
1.59,0.075661,0.049405,-0.930181,-0.507132,0.101008,0.042036,0.115273
1.6,0.066276,0.044279,-0.938451,-0.51254,0.128845,0.053068,0.148115
1.61,0.056831,0.039114,-0.944551,-0.51658,0.156139,0.063808,0.180444
1.62,0.047346,0.033921,-0.948479,-0.51928,0.182833,0.074238,0.211963
1.63,0.037844,0.028714,-0.950239,-0.520673,0.208868,0.084341,0.242388
1.64,0.028345,0.023506,-0.949841,-0.520797,0.23419,0.094103,0.271452
1.65,0.018872,0.018309,-0.947298,-0.519692,0.258747,0.103512,0.298905
1.66,0.009446,0.013135,-0.942627,-0.517401,0.282486,0.112557,0.324516
1.67,8.8e-05,0.007995,-0.935851,-0.513969,0.30536,0.121229,0.348079
1.68,-0.009182,0.002901,-0.927,-0.50944,0.32732,0.129519,0.369408
1.69,-0.018344,-0.002138,-0.916105,-0.503862,0.348324,0.137421,0.388343
1.7,-0.027376,-0.00711,-0.903206,-0.497279,0.36833,0.144929,0.404748
1.71,-0.036259,-0.012008,-0.888344,-0.489736,0.387299,0.152037,0.418512
1.72,-0.044975,-0.01682,-0.871569,-0.481278,0.405194,0.15874,0.429553
1.73,-0.053504,-0.02154,-0.852934,-0.471946,0.421984,0.165035,0.437812
1.74,-0.061829,-0.026158,-0.832496,-0.461781,0.437637,0.170917,0.443257
1.75,-0.069932,-0.030666,-0.810317,-0.450822,0.452129,0.176383,0.445885
1.76,-0.077797,-0.035057,-0.786465,-0.439106,0.465435,0.181429,0.445714
1.77,-0.085407,-0.039324,-0.76101,-0.426667,0.477534,0.186052,0.442791
1.78,-0.092747,-0.043459,-0.734028,-0.413538,0.488412,0.190249,0.437183
1.79,-0.099803,-0.047457,-0.705596,-0.399751,0.498053,0.194017,0.428983
1.8,-0.106561,-0.05131,-0.675798,-0.385335,0.506447,0.197352,0.418303
1.81,-0.113008,-0.055013,-0.644717,-0.370318,0.513588,0.200252,0.405276
1.82,-0.119133,-0.05856,-0.612442,-0.354727,0.519473,0.202713,0.390055
1.83,-0.124923,-0.061946,-0.579062,-0.338588,0.5241,0.204732,0.372806
1.84,-0.13037,-0.065166,-0.54467,-0.321926,0.527473,0.206308,0.353714
1.85,-0.135464,-0.068213,-0.50936,-0.304766,0.529597,0.207437,0.332975
1.86,-0.140196,-0.071085,-0.473226,-0.287135,0.530482,0.208118,0.310796
1.87,-0.14456,-0.073775,-0.436365,-0.269057,0.530139,0.20835,0.287392
1.88,-0.148548,-0.076281,-0.398873,-0.250559,0.528583,0.208131,0.262986
1.89,-0.152157,-0.078597,-0.360848,-0.231668,0.525831,0.207462,0.237807
1.9,-0.155381,-0.080722,-0.322387,-0.212414,0.521905,0.206342,0.212085
1.91,-0.158217,-0.08265,-0.283585,-0.192826,0.516825,0.204775,0.18605
1.92,-0.160662,-0.084379,-0.244541,-0.172936,0.510618,0.202761,0.159932
1.93,-0.162715,-0.085907,-0.205348,-0.152779,0.50331,0.200305,0.133956
1.94,-0.164376,-0.087231,-0.166101,-0.13239,0.494932,0.19741,0.108344
1.95,-0.165645,-0.088349,-0.126893,-0.111807,0.485514,0.194085,0.083308
1.96,-0.166523,-0.08926,-0.087813,-0.091071,0.47509,0.190334,0.059053
1.97,-0.167013,-0.089962,-0.048953,-0.070224,0.463696,0.186167,0.035773
1.98,-0.167117,-0.090455,-0.010398,-0.04931,0.451367,0.181594,0.013648
1.99,-0.166839,-0.090739,0.027766,-0.028377,0.438144,0.176626,0.017178
2.0,-0.166185,-0.090813,0.065458,-0.007472,0.424064,0.171275,0.029038
2.01,-0.165159,-0.09068,0.102596,0.013354,0.40917,0.165556,0.04419
2.02,-0.163768,-0.090339,0.139105,0.03405,0.393504,0.159485,0.060169
2.03,-0.162019,-0.089794,0.174909,0.054562,0.377109,0.153077,0.074312
2.04,-0.159919,-0.089045,0.209937,0.074839,0.36003,0.146351,0.086536
2.05,-0.157478,-0.088097,0.244119,0.094825,0.342312,0.139327,0.096777
2.06,-0.154704,-0.086952,0.277391,0.114466,0.324001,0.132024,0.104987
2.07,-0.151607,-0.085615,0.309689,0.133708,0.305144,0.124464,0.111141
2.08,-0.148198,-0.08409,0.340953,0.152498,0.285788,0.11667,0.115232
2.09,-0.144486,-0.082383,0.371127,0.170784,0.265981,0.108663,0.11727
2.1,-0.140485,-0.080497,0.400157,0.188514,0.245771,0.100469,0.117287
2.11,-0.136205,-0.078441,0.427992,0.205641,0.225206,0.092111,0.115328
2.12,-0.131659,-0.07622,0.454584,0.222116,0.204336,0.083614,0.11146
2.13,-0.12686,-0.073841,0.47989,0.237897,0.183209,0.075003,0.105763
2.14,-0.121822,-0.071312,0.503868,0.252941,0.161875,0.066303,0.098334
2.15,-0.116557,-0.068639,0.526478,0.26721,0.140382,0.057537,0.089283
2.16,-0.11108,-0.065833,0.547687,0.280671,0.11878,0.048732,0.078732
2.17,-0.105405,-0.0629,0.567462,0.293292,0.097117,0.039911,0.066816
2.18,-0.099548,-0.059849,0.585772,0.305046,0.075442,0.031098,0.053678
2.19,-0.093522,-0.05669,0.602594,0.31591,0.053803,0.022316,0.039471
2.2,-0.087343,-0.053432,0.617902,0.325865,0.032249,0.013588,0.024354
2.21,-0.081026,-0.050083,0.631678,0.334896,0.010825,0.004935,0.008491
2.22,-0.074587,-0.046653,0.643905,0.342993,-0.01042,-0.003622,0.007952
2.23,-0.068041,-0.043151,0.654569,0.350148,-0.031441,-0.012063,0.024804
2.24,-0.061405,-0.039588,0.663659,0.356359,-0.052192,-0.020369,0.041897
2.25,-0.054693,-0.035971,0.67117,0.361625,-0.072629,-0.028523,0.059061
2.26,-0.047922,-0.032312,0.677096,0.365952,-0.092708,-0.036507,0.076132
2.27,-0.041107,-0.028618,0.681438,0.369345,-0.112387,-0.044305,0.092948
2.28,-0.034266,-0.0249,0.684197,0.371816,-0.131624,-0.051904,0.109355
2.29,-0.027412,-0.021166,0.685382,0.373378,-0.150379,-0.059288,0.125204
2.3,-0.020562,-0.017426,0.685,0.374046,-0.168613,-0.066446,0.140354
2.31,-0.013731,-0.013688,0.683066,0.373838,-0.18629,-0.073366,0.154675
2.32,-0.006935,-0.00996,0.679595,0.372773,-0.203372,-0.080037,0.168046
2.33,-0.000189,-0.006251,0.674608,0.370873,-0.219827,-0.086449,0.180358
2.34,0.006492,-0.00257,0.668128,0.368159,-0.235621,-0.092592,0.191514
2.35,0.013094,0.001077,0.660181,0.364656,-0.250725,-0.098459,0.201427
2.36,0.019602,0.004681,0.650798,0.360387,-0.265108,-0.104042,0.210027
2.37,0.026002,0.008235,0.640012,0.355378,-0.278745,-0.109334,0.217255
2.38,0.032281,0.011731,0.62786,0.349653,-0.29161,-0.114328,0.223065
2.39,0.038425,0.015164,0.614381,0.34324,-0.303681,-0.119019,0.227428
2.4,0.044421,0.018525,0.599617,0.336162,-0.314937,-0.123402,0.230325
